🎮 Starting Super Metroid Tracker (Kotlin Native)
Port: 8082, Poll Interval: 1000ms
🎭 Mock UDP: Mode changed to STATIC
🎭 Mock UDP: Static state set to Norfair
Background poller started with 1000ms interval
📡 Starting background polling loop...
🚀 Background Polling Super Metroid Tracker Server
==================================================
📱 Tracker UI: http://localhost:8082/
📊 API Status: http://localhost:8082/api/status
📈 API Stats:  http://localhost:8082/api/stats
⚡ Background polling: 1000ms intervals
🎯 Architecture: Background UDP + Instant Cache Serving
⏹️  Press Ctrl+C to stop
==================================================
✅ BOOTSTRAP: Save file looks like mid-game, keeping MB cache as-is
✅ Poll #1 completed in 1ms
[INFO] (ktor.application): Application started in 0.002 seconds.
[INFO] (ktor.application): Responding at http://0.0.0.0:8082
✅ Poll #2 completed in 0ms
✅ Poll #3 completed in 1ms
✅ Poll #4 completed in 0ms
✅ Poll #5 completed in 1ms
✅ Poll #20 completed in 1ms
✅ Poll #40 completed in 1ms
✅ Poll #60 completed in 2ms
✅ Poll #80 completed in 2ms
✅ Poll #100 completed in 2ms
✅ Poll #120 completed in 3ms
✅ Poll #140 completed in 2ms
✅ Poll #160 completed in 1ms
✅ Poll #180 completed in 2ms
✅ Poll #200 completed in 2ms
✅ Poll #220 completed in 2ms
✅ Poll #240 completed in 3ms
✅ Poll #260 completed in 1ms
✅ Poll #280 completed in 6ms
✅ Poll #300 completed in 1ms
✅ Poll #320 completed in 2ms
✅ Poll #340 completed in 1ms
✅ Poll #360 completed in 2ms
✅ Poll #380 completed in 2ms
✅ Poll #400 completed in 2ms
✅ Poll #420 completed in 2ms
✅ Poll #440 completed in 1ms
✅ Poll #460 completed in 1ms
✅ Poll #480 completed in 1ms
✅ Poll #500 completed in 2ms
✅ Poll #520 completed in 2ms
✅ Poll #540 completed in 1ms
✅ Poll #560 completed in 1ms
✅ Poll #580 completed in 2ms
✅ Poll #600 completed in 2ms
✅ Poll #620 completed in 1ms
✅ Poll #640 completed in 2ms
✅ Poll #660 completed in 2ms
✅ Poll #680 completed in 2ms
✅ Poll #700 completed in 2ms
✅ Poll #720 completed in 1ms
✅ Poll #740 completed in 1ms
✅ Poll #760 completed in 1ms
✅ Poll #780 completed in 1ms
✅ Poll #800 completed in 3ms
✅ Poll #820 completed in 3ms
✅ Poll #840 completed in 2ms
✅ Poll #860 completed in 2ms
✅ Poll #880 completed in 1ms
✅ Poll #900 completed in 1ms
✅ Poll #920 completed in 1ms
✅ Poll #940 completed in 1ms
✅ Poll #960 completed in 1ms
✅ Poll #980 completed in 2ms
✅ Poll #1000 completed in 2ms
✅ Poll #1020 completed in 0ms
✅ Poll #1040 completed in 2ms
✅ Poll #1060 completed in 1ms
✅ Poll #1080 completed in 2ms
✅ Poll #1100 completed in 1ms
✅ Poll #1120 completed in 1ms
✅ Poll #1140 completed in 3ms
✅ Poll #1160 completed in 2ms
✅ Poll #1180 completed in 2ms
✅ Poll #1200 completed in 2ms
✅ Poll #1220 completed in 2ms
✅ Poll #1240 completed in 2ms
✅ Poll #1260 completed in 1ms
✅ Poll #1280 completed in 3ms
✅ Poll #1300 completed in 1ms
✅ Poll #1320 completed in 1ms
✅ Poll #1340 completed in 3ms
✅ Poll #1360 completed in 1ms
✅ Poll #1380 completed in 3ms
✅ Poll #1400 completed in 3ms
✅ Poll #1420 completed in 1ms
✅ Poll #1440 completed in 1ms
✅ Poll #1460 completed in 1ms
✅ Poll #1480 completed in 1ms
✅ Poll #1500 completed in 1ms
✅ Poll #1520 completed in 3ms
✅ Poll #1540 completed in 1ms
✅ Poll #1560 completed in 3ms
✅ Poll #1580 completed in 1ms
✅ Poll #1600 completed in 1ms
✅ Poll #1620 completed in 1ms
✅ Poll #1640 completed in 1ms
✅ Poll #1660 completed in 1ms
✅ Poll #1680 completed in 2ms
✅ Poll #1700 completed in 2ms
✅ Poll #1720 completed in 2ms
✅ Poll #1740 completed in 1ms
✅ Poll #1760 completed in 2ms
✅ Poll #1780 completed in 1ms
✅ Poll #1800 completed in 1ms
✅ Poll #1820 completed in 1ms
✅ Poll #1840 completed in 2ms
✅ Poll #1860 completed in 2ms
✅ Poll #1880 completed in 1ms
✅ Poll #1900 completed in 1ms
✅ Poll #1920 completed in 1ms
✅ Poll #1940 completed in 1ms
✅ Poll #1960 completed in 1ms
✅ Poll #1980 completed in 2ms
✅ Poll #2000 completed in 2ms
✅ Poll #2020 completed in 1ms
✅ Poll #2040 completed in 2ms
✅ Poll #2060 completed in 2ms
✅ Poll #2080 completed in 3ms
✅ Poll #2100 completed in 1ms
✅ Poll #2120 completed in 2ms
✅ Poll #2140 completed in 1ms
✅ Poll #2160 completed in 1ms
✅ Poll #2180 completed in 2ms
✅ Poll #2200 completed in 2ms
✅ Poll #2220 completed in 1ms
✅ Poll #2240 completed in 1ms
✅ Poll #2260 completed in 1ms
✅ Poll #2280 completed in 1ms
✅ Poll #2300 completed in 2ms
✅ Poll #2320 completed in 1ms
✅ Poll #2340 completed in 1ms
✅ Poll #2360 completed in 2ms
✅ Poll #2380 completed in 1ms
✅ Poll #2400 completed in 3ms
✅ Poll #2420 completed in 1ms
✅ Poll #2440 completed in 1ms
✅ Poll #2460 completed in 1ms
✅ Poll #2480 completed in 3ms
✅ Poll #2500 completed in 2ms
✅ Poll #2520 completed in 1ms
✅ Poll #2540 completed in 1ms
✅ Poll #2560 completed in 2ms
✅ Poll #2580 completed in 1ms
✅ Poll #2600 completed in 1ms
✅ Poll #2620 completed in 2ms
✅ Poll #2640 completed in 2ms
✅ Poll #2660 completed in 1ms
✅ Poll #2680 completed in 1ms
✅ Poll #2700 completed in 5ms
✅ Poll #2720 completed in 1ms
✅ Poll #2740 completed in 2ms
✅ Poll #2760 completed in 3ms
✅ Poll #2780 completed in 1ms
✅ Poll #2800 completed in 2ms
✅ Poll #2820 completed in 1ms
✅ Poll #2840 completed in 2ms
